Timestamp : 13|01_01:13
Mois,Lapins vivants,Nombre de lapin juvéniles morts au total,Nombre de lapin enfant mort au total,Nombre de lapin adulte mort au total,Total de lapins morts,Nombre de naissance par mois,Nombre de lapin juvéniles morts par mois,Nombre de lapin enfant mort par mois,Nombre de lapin adulte mort par mois,Nombre de lapin mort en 1 mois
1,3,0,0,1,1,0,0,0,1,1
2,5,2,0,1,3,4,2,0,0,2
3,5,2,0,1,3,0,0,0,0,0
4,6,6,1,1,8,6,4,1,0,5
5,6,6,1,1,8,0,0,0,0,0
6,7,9,1,1,11,4,3,0,0,3
7,7,9,1,1,11,0,0,0,0,0
8,8,14,1,1,16,6,5,0,0,5
9,8,14,1,1,16,0,0,0,0,0
10,7,16,1,3,20,3,2,0,2,4
11,8,20,2,3,25,6,4,1,0,5
12,8,26,2,3,31,6,6,0,0,6
13,10,30,2,3,35,6,4,0,0,4
14,10,36,2,3,41,6,6,0,0,6
15,9,39,3,3,45,3,3,1,0,4
16,10,48,3,3,54,10,9,0,0,9
17,10,52,3,3,58,4,4,0,0,4
18,12,57,3,3,63,7,5,0,0,5
19,13,63,3,3,69,7,6,0,0,6
20,15,71,4,3,78,11,8,1,0,9
21,17,85,4,3,92,16,14,0,0,14
22,19,92,4,3,99,9,7,0,0,7
23,22,106,4,3,113,17,14,0,0,14
24,26,110,4,3,117,8,4,0,0,4
25,29,121,4,3,128,14,11,0,0,11
26,31,129,5,3,137,11,8,1,0,9
27,38,144,6,3,153,23,15,1,0,16
28,37,159,9,5,173,19,15,3,2,20
29,37,185,11,5,201,28,26,2,0,28
30,37,196,13,5,214,13,11,2,0,13
31,45,219,14,6,239,33,23,1,1,25
32,46,226,15,6,247,9,7,1,0,8
33,49,249,15,7,271,27,23,0,1,24
34,48,256,16,8,280,8,7,1,1,9
35,52,286,16,9,311,35,30,0,1,31
36,55,296,16,10,322,14,10,0,1,11
37,65,325,17,10,352,40,29,1,0,30
38,69,351,17,12,380,32,26,0,2,28
39,75,388,17,13,418,44,37,0,1,38
40,80,406,22,15,443,30,18,5,2,25
41,91,446,23,17,486,54,40,1,2,43
42,91,473,27,18,518,32,27,4,1,32
43,100,524,28,19,571,62,51,1,1,53
44,103,552,30,21,603,35,28,2,2,32
45,107,623,35,22,680,81,71,5,1,77
46,107,656,37,22,715,35,33,2,0,35
47,111,711,41,25,777,66,55,4,3,62
48,119,761,44,25,830,61,50,3,0,53
49,137,823,44,25,892,80,62,0,0,62
50,147,876,47,26,949,67,53,3,1,57
51,164,962,48,27,1037,105,86,1,1,88
52,177,1023,52,27,1102,78,61,4,0,65
53,199,1123,52,29,1204,124,100,0,2,102
54,202,1198,56,35,1289,88,75,4,6,85
55,210,1300,61,39,1400,119,102,5,4,111
56,226,1400,64,43,1507,123,100,3,4,107
57,246,1526,71,44,1641,154,126,7,1,134
58,263,1630,75,50,1755,131,104,4,6,114
59,296,1784,81,52,1917,195,154,6,2,162
60,317,1912,88,55,2055,159,128,7,3,138
61,355,2092,93,58,2243,226,180,5,3,188
62,386,2242,98,62,2402,190,150,5,4,159
63,416,2445,109,68,2622,250,203,11,6,220
64,436,2631,120,74,2825,223,186,11,6,203
65,463,2847,133,79,3059,261,216,13,5,234
66,509,3068,141,82,3291,278,221,8,3,232
67,550,3333,151,91,3575,325,265,10,9,284
68,590,3578,163,100,3841,306,245,12,9,266
69,635,3896,181,108,4185,389,318,18,8,344
70,693,4231,199,117,4547,420,335,18,9,362
71,746,4556,214,123,4893,399,325,15,6,346
72,819,4914,230,131,5275,455,358,16,8,382
73,894,5293,243,140,5676,476,379,13,9,401
74,960,5726,265,147,6138,528,433,22,7,462
75,1024,6158,296,154,6608,534,432,31,7,470
76,1113,6657,318,172,7147,628,499,22,18,539
77,1190,7152,348,182,7682,612,495,30,10,535
78,1314,7743,382,201,8326,768,591,34,19,644
79,1388,8301,415,218,8934,682,558,33,17,608
80,1518,8997,454,231,9682,878,696,39,13,748
81,1645,9623,493,249,10365,810,626,39,18,683
82,1773,10413,541,273,11227,990,790,48,24,862
83,1928,11156,593,289,12038,966,743,52,16,811
84,2098,12092,642,310,13044,1176,936,49,21,1006
85,2253,13036,695,332,14063,1174,944,53,22,1019
86,2430,14157,746,359,15262,1376,1121,51,27,1199
87,2603,15195,815,384,16394,1305,1038,69,25,1132
88,2825,16531,875,417,17823,1651,1336,60,33,1429
89,3023,17767,948,445,19160,1535,1236,73,28,1337
90,3314,19227,1001,467,20695,1826,1460,53,22,1535
91,3586,20728,1081,515,22324,1901,1501,80,48,1629
92,3884,22394,1158,557,24109,2083,1666,77,42,1785
93,4172,24183,1240,602,26025,2204,1789,82,45,1916
94,4547,26214,1347,633,28194,2544,2031,107,31,2169
95,4900,28316,1454,690,30460,2619,2102,107,57,2266
96,5287,30676,1570,745,32991,2918,2360,116,55,2531
97,5718,33184,1687,811,35682,3122,2508,117,66,2691
98,6252,35990,1795,872,38657,3509,2806,108,61,2975
99,6769,38830,1935,950,41715,3575,2840,140,78,3058
100,7284,42087,2088,1028,45203,4003,3257,153,78,3488
101,7848,45466,2276,1098,48840,4201,3379,188,70,3637
102,8476,49158,2460,1186,52804,4592,3692,184,88,3964
103,9255,53183,2640,1273,57096,5071,4025,180,87,4292
104,9991,57404,2878,1357,61639,5279,4221,238,84,4543
105,10853,62188,3131,1460,66779,6002,4784,253,103,5140
106,11710,67145,3397,1573,72115,6193,4957,266,113,5336
107,12722,72770,3707,1710,78187,7084,5625,310,137,6072
108,13683,78607,4021,1847,84475,7249,5837,314,137,6288
109,14842,85184,4360,2001,91545,8229,6577,339,154,7070
110,16005,91920,4714,2166,98800,8418,6736,354,165,7255
111,17351,99413,5088,2366,106867,9413,7493,374,200,8067
112,18680,107166,5493,2543,115202,9664,7753,405,177,8335
113,20215,115906,5902,2749,124557,10890,8740,409,206,9355
114,21804,125088,6401,2972,134461,11493,9182,499,223,9904
115,23670,135269,6921,3189,145379,12784,10181,520,217,10918
116,25657,146153,7463,3442,157058,13666,10884,542,253,11679
117,27750,158332,8062,3711,170105,15140,12179,599,269,13047
118,29910,171361,8737,4003,184101,16156,13029,675,292,13996
119,32386,185469,9486,4325,199280,17655,14108,749,322,15179
120,35032,200557,10279,4661,215497,18863,15088,793,336,16217
121,37917,216679,11134,5038,232851,20239,16122,855,377,17354
122,41198,234241,12020,5418,251679,22109,17562,886,380,18828
123,44589,253230,13019,5854,272103,23815,18989,999,436,20424
124,48158,273734,14141,6301,294176,25642,20504,1122,447,22073
125,52061,296044,15309,6820,318173,27900,22310,1168,519,23997
126,56258,320439,16501,7396,344336,30360,24395,1192,576,26163
127,60795,346740,17835,7966,372541,32742,26301,1334,570,28205
128,65764,375449,19349,8577,403375,35803,28709,1514,611,30834
129,71179,406422,20900,9308,436630,38670,30973,1551,731,33255
130,77199,439849,22582,10026,472457,41847,33427,1682,718,35827
131,83703,476106,24402,10876,511384,45431,36257,1820,850,38927
132,90634,515391,26405,11735,553531,49078,39285,2003,859,42147
133,97786,557336,28691,12673,598700,52321,41945,2286,938,45169
134,105998,603574,30991,13664,648229,57741,46238,2300,991,49529
135,114840,652795,33538,14764,701097,61710,49221,2547,1100,52868
136,124362,706969,36252,15969,759190,67615,54174,2714,1205,58093
137,134454,764692,39242,17282,821216,72118,57723,2990,1313,62026
138,145809,827538,42568,18655,888761,78900,62846,3326,1373,67545
139,157914,894896,46061,20179,961136,84480,67358,3493,1524,72375
140,170915,968695,49858,21820,1040373,92238,73799,3797,1641,79237
141,184638,1047890,53919,23644,1125453,98803,79195,4061,1824,85080
142,199909,1133858,58338,25540,1217736,107554,85968,4419,1896,92283
143,216487,1226188,63053,27684,1316925,115767,92330,4715,2144,99189
144,234179,1327619,68325,29966,1425910,126677,101431,5272,2282,108985
145,252861,1436035,74021,32416,1542472,135244,108416,5696,2450,116562
146,273807,1555088,80118,35070,1670276,148750,119053,6097,2654,127804
147,296326,1682075,86741,37990,1806806,159049,126987,6623,2920,136530
148,320884,1821381,93875,41176,1956432,174184,139306,7134,3186,149626
149,347347,1970543,101623,44527,2116693,186724,149162,7748,3351,160261
150,375705,2133171,110006,48238,2291415,203080,162628,8383,3711,174722
151,406208,2308549,119079,52191,2479819,218907,175378,9073,3953,188404
152,439230,2499056,128768,56430,2684254,237457,190507,9689,4239,204435
153,475692,2703581,139229,60994,2903804,256012,204525,10461,4564,219550
154,514789,2926168,150658,65971,3142797,278090,222587,11429,4977,238993
155,557161,3167468,163000,71389,3401857,301432,241300,12342,5418,259060
156,603567,3427766,176383,77198,3681347,325896,260298,13383,5809,279490
157,653704,3710032,190891,83632,3984555,353345,282266,14508,6434,303208
158,707537,4015259,206542,90503,4312304,381582,305227,15651,6871,327749
159,765713,4346232,223529,97784,4667545,413417,330973,16987,7281,355241
160,828755,4703846,241906,105850,5051602,447099,357614,18377,8066,384057
161,896681,5091542,261695,114599,5467836,484160,387696,19789,8749,416234
162,969836,5509891,283309,124231,5917431,522750,418349,21614,9632,449595
163,1049871,5962810,306698,134666,6404174,566778,452919,23389,10435,486743
164,1136943,6453533,331789,145764,6931086,613984,490723,25091,11098,526912
165,1231248,6986047,358735,157581,7502363,665582,532514,26946,11817,571277
166,1332289,7560048,388218,170489,8118755,717433,574001,29483,12908,616392
167,1441644,8184676,420221,184587,8789484,780084,624628,32003,14098,670729
168,1560217,8856767,454730,199696,9511193,840282,672091,34509,15109,721709
169,1688894,9587535,491955,216213,10295703,913187,730768,37225,16517,784510
170,1827810,10373767,532161,234081,11140009,983222,786232,40206,17868,844306
171,1978961,11228270,576021,253299,12057590,1068732,854503,43860,19218,917581
172,2141589,12150907,623372,273960,13048239,1153277,922637,47351,20661,990649
173,2318026,13153128,674663,296447,14124238,1252436,1002221,51291,22487,1075999
174,2508562,14234233,729855,320882,15284970,1351268,1081105,55192,24435,1160732
175,2714748,15407627,790101,347398,16545126,1466342,1173394,60246,26516,1260156
176,2937537,16673897,855159,376008,17905064,1582727,1266270,65058,28610,1359938
177,3180737,18048076,925292,406788,19380156,1718292,1374179,70133,30780,1475092
178,3441660,19528830,1002145,439954,20970929,1851696,1480754,76853,33166,1590773
179,3724852,21138664,1084531,476272,22699467,2011730,1609834,82386,36318,1728538
180,4029404,22872717,1174361,515562,24562640,2167725,1734053,89830,39290,1863173
181,4361741,24754580,1270857,557854,26583291,2352988,1881863,96496,42292,2020651
182,4720551,26786311,1375124,603950,28765385,2540904,2031731,104267,46096,2182094
183,5108630,28990332,1488718,653930,31132980,2755674,2204021,113594,49980,2367595
184,5526875,31370750,1611038,707878,33689666,2974931,2380418,122320,53948,2556686
185,5980482,33947731,1743643,766219,36457593,3221534,2576981,132605,58341,2767927
186,6469894,36736023,1887174,829874,39453071,3484890,2788292,143531,63655,2995478
187,6999097,39751752,2042144,898382,42692278,3768410,3015729,154970,68508,3239207
188,7574241,43018799,2209422,972171,46200392,4083258,3267047,167278,73789,3508114
189,8195686,46546908,2390940,1052095,49989943,4410996,3528109,181518,79924,3789551
190,8869149,50370858,2586485,1138396,54095739,4779259,3823950,195545,86301,4105796
191,9595114,54500925,2799355,1231991,58532271,5162497,4130067,212870,93595,4436532
192,10386271,58979988,3027958,1332894,63340840,5599726,4479063,228603,100903,4808569
